	SRR7217923	SRR7217925	SRR7217927	SRR7217929
potD	141	156	129	134
potC	18	28	8	12
potB	22	22	4	11
potA	123	74	56	39
pepT	166	171	389	413
roxA	158	139	160	175
phoQ	44	38	60	44
phoP	34	45	45	53
purB	107	137	56	64
hflD	31	27	21	24
mnmA	240	157	146	99
nudJ	13	10	8	9
rluE	23	19	18	16
icd	1170	1202	1194	1324
ymfD	7	9	7	4
ymfE	7	9	13	6
lit	13	10	9	8
intE	4	1	3	3
xisE	0	0	0	0
ymfH	0	1	0	0
ymfI	4	2	1	6
ymfJ	1	0	0	0
ymfK	25	11	12	8
ymfT	0	0	0	0
ymfL	1	0	0	0
ymfM	0	0	0	0
ymfN	0	2	2	0
ymfR	0	0	0	0
beeE	0	0	0	0
ymfQ	0	1	0	0
ycfK	0	0	0	0
tfaP	0	0	0	0
tfaE	0	0	0	1
pinE	0	0	0	0
mcrA	1	3	0	1
iraM	0	1	0	0
ymgK	0	0	0	0
ymgL	0	0	0	0
ycgX	2	1	2	0
bluR	40	34	27	35
bluF	48	40	7	9
ycgZ	0	0	0	0
ymgA	0	0	0	0
ariR	0	0	0	0
ymgC	0	0	0	0
pdeG	1	0	1	0
ymgF	0	0	0	1
ymgD	1	0	1	0
ymgG	0	0	1	0
ymgI	0	0	0	0
ymgJ	0	0	0	0
minE	4	3	6	7
minD	265	263	361	362
minC	88	63	99	86
ycgJ	2	2	1	2
pliG	3	2	11	16
ycgL	6	4	10	2
ycgM	20	9	18	21
ycgN	10	4	8	8
hlyE	3	0	5	2
umuD	0	0	0	0
umuC	2	3	5	1
dsbB	52	43	40	32
nhaB	129	123	91	84
fadR	66	75	89	97
ycgB	21	18	44	36
dadA	178	113	49	51
dadX	102	39	31	28
ymgM	0	0	0	0
cvrA	43	43	58	42
ldcA	13	15	16	18
emtA	20	14	3	7
ycgR	0	0	0	1
ymgE	0	0	1	1
ycgY	0	0	0	1
treA	18	10	33	31
dhaM	37	26	66	71
dhaL	5	8	24	22
dhaK	20	19	49	49
dhaR	13	17	8	9
ycgV	11	7	10	8
ychF	170	167	102	86
pth	20	14	16	14
ychH	22	33	43	90
dauA	46	57	31	38
prs	397	378	186	172
ispE	38	45	31	47
lolB	40	29	37	31
hemA	108	79	83	63
prfA	96	73	60	57
prmC	25	28	21	26
ychQ	3	4	3	2
ychA	50	43	41	34
kdsA	154	145	126	134
ldrA	0	0	0	0
rdlA	0	0	0	0
ldrB	0	0	0	0
rdlB	0	0	0	0
ldrC	0	0	0	0
rdlC	0	0	0	0
chaA	45	45	28	12
chaB	0	0	0	0
chaC	1	3	5	5
ychN	57	35	47	66
ychO	1	2	4	1
narL	73	65	99	130
narX	37	37	62	57
narK	259	326	791	811
narG	941	1138	2851	2749
narH	614	671	1445	1395
narJ	190	152	315	316
narI	256	231	391	459
ychS	0	0	0	1
rttR	0	0	0	0
tpr	0	0	0	0
tyrV	0	0	0	0
tyrT	0	0	0	0
purU	61	43	54	40
ychJ	16	11	8	18
rssA	62	57	145	90
rssB	52	37	72	54
galU	186	186	226	238
hns	680	496	478	571
tdk	13	10	6	6
adhE	1165	1197	1944	2078
ychE	5	9	8	7
insH21	0	0	0	0
oppA	1335	979	1142	1019
oppB	208	145	158	163
oppC	266	219	201	226
oppD	355	332	249	224
oppF	333	346	241	262
yciU	10	3	5	6
clsA	68	60	74	82
yciY	1	3	3	5
kch	22	9	21	11
yciI	11	12	18	27
tonB	13	6	7	4
yciA	21	12	5	7
yciB	15	18	14	14
yciC	47	30	41	24
ompW	73	49	134	140
yciE	0	1	1	2
yciF	0	0	1	0
yciG	0	0	0	0
trpA	17	22	23	27
trpB	35	28	33	32
trpC	19	22	18	8
trpD	2	4	2	4
trpE	1	3	0	1
trpL	0	0	0	0
yciV	26	29	21	21
yciO	50	36	51	50
yciQ	12	5	12	9
rluB	146	148	61	56
btuR	7	4	8	9
yciK	12	5	9	15
sohB	55	44	86	91
yciN	15	8	15	17
topA	440	502	249	254
cysB	102	81	78	83
ymiA	0	0	0	0
yciX	1	0	0	0
ymiC	0	0	0	0
acnA	223	179	213	250
ribA	73	60	62	67
pgpB	24	21	16	27
lapA	5	1	14	7
lapB	58	36	73	32
pyrF	37	21	19	11
yciH	4	3	0	2
osmB	0	0	1	0
yciT	29	35	32	29
yciZ	0	1	0	0
pdeR	10	9	14	11
ymiB	0	0	0	0
rnb	206	214	92	88
yciW	3	2	1	1
fabI	352	320	276	312
ycjD	2	2	3	0
sapF	15	12	11	12
sapD	22	19	27	24
sapC	6	6	6	12
sapB	15	9	10	9
sapA	47	37	41	43
ymjA	2	0	0	0
puuP	9	6	3	3
ymjE	0	0	0	0
puuA	18	21	2	11
puuD	6	2	1	1
puuR	2	0	6	2
puuC	4	4	1	1
puuB	0	0	0	0
puuE	0	3	0	1
pspF	2	5	13	21
pspA	16	14	18	15
pspB	0	0	0	0
pspC	1	1	0	1
pspD	1	0	0	0
pspE	44	20	54	57
ycjM	3	1	2	0
ycjN	0	2	1	3
ycjO	0	0	1	0
ycjP	1	2	1	1
ycjQ	2	0	1	1
ycjR	3	1	0	3
ycjS	1	1	1	2
ycjT	1	3	5	5
ycjU	0	2	0	0
ompG	0	1	1	0
ycjW	6	10	2	4
ycjX	10	13	20	18
ycjF	9	5	9	13
tyrR	144	138	229	224
tpx	340	300	349	394
ycjG	37	12	43	44
mpaA	20	19	25	19
ymjC	0	0	0	0
ymjD	0	0	0	0
ycjY	1	0	3	1
pgrR	7	4	10	1
mppA	107	100	92	88
ynaI	5	7	9	3
insH-4	0	0	0	0
ynaJ	19	27	11	16
uspE	424	393	932	1143
fnr	265	228	125	117
ogt	6	6	7	5
abgT	0	2	5	2
abgB	1	0	2	1
abgA	0	0	2	1
abgR	3	10	18	15
mcaS	0	0	0	0
smrA	7	7	3	2
dgcM	14	8	17	16
zntB	19	16	22	22
fnrS	1	2	3	3
ynaL	0	0	0	0
dbpA	26	32	13	5
ttcA	42	52	29	32
intR	0	0	1	3
xisR	0	0	0	0
rcbA	0	0	0	0
ralA	0	0	0	0
ralR	0	0	0	0
recT	3	2	0	1
recE	1	2	3	0
racC	0	0	0	0
ydaE	0	0	0	0
kilR	0	0	0	0
sieB	1	0	1	1
ydaF	0	0	0	0
ydaG	0	0	0	0
racR	24	31	32	28
ydaS	1	0	0	0
ydaT	0	0	0	0
ydaU	1	1	0	0
ydaV	0	1	1	0
ydaW	0	1	0	0
rzoR	0	0	0	0
trkG	14	7	7	5
ynaK	0	0	0	0
ydaY	0	0	0	0
ynaA	2	3	0	1
insH-5	4	4	6	8
stfR	3	2	5	1
tfaR	0	0	0	1
pinR	2.5	1	0	0
ynaE	2	0	0	0
ynaM	0	0	0	0
uspF	112	76	191	214
ompN	0	0	1	0
micC	0	0	0	0
ydbK	471	480	241	252
ydbJ	3	3	8	10
hslJ	6	4	7	4
ldhA	7	6	4	9
ydbH	30	16	28	30
ynbE	0	0	0	0
ydbL	3	1	2	1
feaR	5	9	2	5
feaB	9	8	8	12
tynA	3	3	3	4
paaZ	0	0	3	0
paaA	1	0	1	0
paaB	0	0	0	0
paaC	2	1	0	0
paaD	0	0	0	1
paaE	0	0	0	0
paaF	0	0	0	0
paaG	0	1	0	0
paaH	1	0	4	0
paaI	1	0	0	1
paaJ	12	12	10	14
paaK	13	5	6	4
paaX	16	14	16	22
paaY	15	8	13	7
ynbG	0	0	0	0
insD-2	0	0	0	0
insC-2	0	0	0	0
insI-2	6.5	2.5	5	1
pdxI	29	46	64	70
ydbD	0	2	3	3
ynbA	1	0	0	0
ynbB	0	0	0	0
ynbC	1	3	2	0
ynbD	0	2	4	4
azoR	6	9	8	10
hrpA	188	183	208	177
ydcF	10	7	12	14
aldA	263	165	86	82
cybB	27	21	22	22
rydC	0	0	0	0
ydcA	0	1	0	0
hokB	0	0	0	0
mokB	0	0	0	2
sokB	0	0	0	0
trg	3	3	1	3
ydcI	85	58	9	10
ydcJ	11	10	15	15
opgD	57	64	49	51
ydcH	18	18	26	50
rimL	9	9	23	22
ydcK	2	2	7	2
tehA	15	9	12	13
tehB	19	12	20	8
ydcL	14	21	20	33
insQ	15	16	23	18
ydcO	7	8	4	8
sutR	4	4	4	2
rlhA	56	50	37	32
yncJ	0	0	0	0
hicA	0	0	0	0
hicB	2	0	1	0
ydcR	24	9	11	10
ydcS	18	12	37	40
ydcT	6	4	13	22
ydcU	3	4	7	11
ydcV	2	1	3	1
patD	11	4	11	12
yncL	0	0	0	0
ortT	0	0	0	0
ydcY	5	0	4	9
ydcZ	1	0	1	1
mnaT	9	3	14	9
curA	13	12	26	39
mcbR	4	0	0	2
yncD	52	43	9	5
yncE	76	60	10	9
ansP	8	21	7	5
yncG	1	1	0	1
yncH	0	0	0	0
ydcD	0	0	0	0
yncO	0	0	0	0
ydcC	1	1	0	0
pptA	0	1	0	1
yddH	1	1	1	0
nhoA	3	3	1	1
yddE	16	17	17	23
narV	0	0	1	0
narW	2	1	2	3
narY	1	3	1	3
narZ	6	7	7	15
narU	2	1	1	1
yddK	0	0	0	0
yddL	0	0	0	0
yddG	12	5	15	12
fdnG	144	205	215	218
fdnH	57	55	68	61
fdnI	47	42	42	41
yddM	3	1	0	3
adhP	17	21	15	14
maeA	205	228	207	213
sra	1	0	1	0
bdm	0	0	0	0
osmC	14	15	33	40
ddpF	1	1	1	1
ddpD	2	3	1	1
ddpC	1	0	3	2
ddpB	1	0	0	0
ddpA	4	0	2	1
ddpX	3	0	0	0
dosP	5	1	2	0
dosC	1	0	0	3
yddY	0	0	0	0
yddW	13	11	16	12
gadC	4	1	4	2
gadB	4.5	4.5	5.5	9
pqqL	14	8	3	0
yddB	7	5	2	0
yddA	0	0	0	0
yneP	0	0	0	0
ydeM	15	15	33	20
ydeN	217	228	353	400
ydeO	0	0	0	0
safA	0	0	0	0
ydeP	2	3	5	4
ydeQ	0	0	0	0
ydeR	0	0	0	0
ydeS	0	0	0	0
ydeT	0	0	0	0
hipA	6	4	14	10
hipB	0	1	0	0
lsrK	4	4	7	6
lsrR	4	4	15	7
lsrA	1	1	4	8
lsrC	0	1	2	2
lsrD	4	1	4	2
lsrB	3	1	7	7
lsrF	2	2	3	7
lsrG	0	0	0	0
tam	1	2	7	4
yneE	13	4	2	2
uxaB	9	22	34	37
dgcF	4	4	4	6
yneG	0	0	2	2
glsB	25	19	15	16
sad	1	7	5	9
yneJ	3	4	3	10
yneK	0	0	0	1
ydeA	11	6	7	7
marC	13	9	21	14
marR	13	7	3	4
marA	4	1	0	1
marB	0	0	0	0
eamA	12	5	12	3
ydeE	6	9	6	7
mgtS	0	0	0	0
mgrR	0	0	0	0
dgcZ	13	5	7	9
ydeI	0	0	0	0
ydeJ	0	0	0	0
dcp	49	55	64	59
ydfG	133	152	233	238
ydfH	44	39	61	42
ydfZ	1	0	2	0
ydfI	0	0	1	1
ydfJ	0	0	0	2
ynfT	0	0	0	0
ydfK	1	0	0	0
pinQ	1.5	3	1	2
tfaQ	0	0	0	0
ydfN	0	1	0	2
nohA	0	0	0	0
ynfO	0	0	0	0
ydfO	0	1	1	0
gnsB	0	0	2	0
ynfN	0	0	0	0
ynfR	0	0	0	0
ynfQ	0	0	0	0
cspI	0	0	0	0
rzpQ	0	0	0	0
rzoQ	0	0	0	0
rrrQ	1	0	0	0
ydfR	0	0	0	0
essQ	0	0	0	0
cspB	2	4	2	0
cspF	1	1	0	1
ynfS	0	0	0	0
ydfT	0	0	0	1
ydfU	0	1	1	0
rem	0	0	0	0
hokD	0	0	0	1
relE	1	1	3	2
relB	0	0	1	0
ydfV	0	0	0	0
flxA	1	0	0	0
ydfW	0	0	0	0
ydfX	0	0	0	0
dicC	0	0	0	0
dicA	34	20	29	26
ydfA	0	0	0	0
ydfB	0	0	0	0
ydfC	0	0	0	0
dicF	0	0	0	0
dicB	0	0	0	0
ydfD	0	0	0	0
ynfP	0	0	0	0
rspB	1	0	1	0
rspA	2	1	4	0
ynfA	1	2	0	2
ynfB	5	3	6	7
speG	23	23	30	25
ynfC	8	12	9	7
ynfD	6	3	6	11
ynfE	36	26	80	99
ynfF	69	40	72	99
ynfG	13	2	10	17
ynfH	24	17	27	31
dmsD	11	11	10	11
clcB	9	1	8	6
ynfK	18	26	99	94
mlc	10	24	30	35
ynfL	2	0	4	3
ynfM	13	7	7	14
asr	0	0	0	0
ydgU	0	0	0	0
ydgD	8	15	20	26
mdtI	1	0	2	0
mdtJ	3	0	3	1
tqsA	2	6	12	16
pntB	119	94	152	192
pntA	165	159	197	221
ydgH	56	48	70	62
ydgI	31	19	7	15
folM	16	12	11	5
ydgC	3	2	4	2
rstA	14	10	16	14
rstB	15	6	15	7
tus	13	11	6	6
fumC	99	62	47	41
fumA	358	323	284	315
manA	153	167	231	273
ydgA	243	208	265	330
uidC	0	0	1	0
uidB	1	0	1	0
uidA	6	0	3	6
uidR	42	54	64	63
hdhA	17	12	31	31
malI	6	6	11	13
malX	22	28	28	24
malY	28	32	34	40
add	102	87	131	144
ydgJ	69	43	48	53
blr	0	0	0	0
cnu	0	0	0	0
ydgK	13	2	8	7
rsxA	21	15	8	1
rsxB	21	14	9	5
rsxC	49	62	26	24
rsxD	16	15	5	8
rsxG	9	6	3	5
rsxE	9	13	5	3
nth	15	20	6	11
dtpA	265	199	129	130
gstA	41	47	69	97
pdxY	54	42	37	43
tyrS	176	193	154	138
pdxH	18	33	27	34
mliC	1	0	1	1
anmK	18	22	30	34
slyB	148	131	195	248
slyA	44	29	35	40
ydhI	0	0	0	0
ydhJ	10	2	9	2
ydhK	8	5	5	8
sodC	12	4	16	14
ydhF	110	105	261	285
ydhL	1	0	2	0
nemR	4	5	3	5
nemA	31	30	18	23
gloA	23	24	39	33
rnt	33	26	15	9
lhr	28	33	36	43
grxD	56	36	36	37
mepH	27	19	42	21
sodB	223	252	433	413
ydhP	12	10	12	11
ynhF	0	0	0	0
purR	99	104	55	55
ydhB	7	3	6	8
ydhC	22	14	29	29
cfa	70	66	85	87
ribC	79	51	67	49
mdtK	65	38	42	35
ydhQ	71	85	113	101
valV	0	0	0	0
valW	0	0	0	0
ydhR	11	7	17	23
ydhS	7	9	13	8
ydhT	2	7	2	7
ydhU	8	2	9	7
ydhX	5	4	9	6
ydhW	12	7	9	22
ydhV	113	74	187	187
ydhY	19	19	58	58
fumD	4	0	3	0
pykF	541	552	586	575
lpp	1592	1543	1848	2846
ldtE	45	44	61	88
sufE	4	0	1	1
sufS	29	25	22	19
sufD	42	27	12	18
sufC	19	12	6	10
sufB	55	30	20	25
sufA	3	4	1	1
rydB	0	0	0	0
ydiH	0	0	1	2
menI	3	3	3	4
ydiJ	65	67	63	78
ydiK	28	25	39	35
rprA	0	0	0	0
ydiL	0	0	1	2
ydiM	1	0	1	1
ydiN	0	0	3	0
ydiB	0	0	1	0
aroD	11	13	7	16
ydiF	1	0	0	0
ydiO	0	0	0	0
ydiP	1	3	7	2
ydiQ	0	0	0	0
ydiR	0	0	1	1
ydiS	1	0	3	0
ydiT	0	0	0	0
fadK	3	1	0	1
ppsA	745	703	522	602
ppsR	31	30	40	48
aroH	43	32	26	27
ydiE	0	1	0	0
ydiU	74	66	52	54
ydiV	23	17	24	11
nlpC	11	9	16	18
btuD	18	14	16	26
btuE	24	12	31	18
btuC	27	18	16	20
ihfA	85	58	73	80
pheT	617	685	356	367
pheS	159	174	79	73
pheM	0	0	0	0
rplT	419	360	251	282
rpmI	6	8	7	4
infC	816	735	661	624
thrS	1603	1693	2031	2080
yniD	0	0	0	0
ydiY	7	8	7	5
pfkB	68	66	100	127
ydiZ	0	0	2	2
yniA	78	97	162	223
yniB	28	13	24	26
hxpB	36	35	35	33
ydjM	4	0	2	0
tcyP	36	23	23	37
ydjO	0	0	0	0
cedA	1	0	1	2
katE	14	11	7	9
chbG	5	5	15	16
chbF	9	10	10	11
chbR	7	14	16	16
chbA	1	3	4	2
chbC	14	17	33	32
chbB	1	2	9	6
osmE	33	7	38	63
nadE	64	68	89	101
cho	16	11	4	6
ves	0	0	2	1
spy	6	2	3	4
astE	2	0	0	2
astB	3	0	3	1
astD	5	1	2	0
astA	4	1	0	1
astC	10	10	4	2
xthA	31	37	31	18
ydjX	1	0	0	3
ydjY	0	2	2	1
ydjZ	0	2	2	1
ynjA	0	2	7	1
ynjB	7	8	9	5
ynjC	2	3	1	4
ynjD	1	2	0	0
ynjE	6	8	25	21
ynjF	2	4	4	8
nudG	4	2	1	1
ynjH	1	0	0	0
gdhA	50	42	49	48
ynjI	5	3	4	0
topB	221	198	263	269
selD	198	224	347	380
ydjA	67	59	92	110
sppA	101	95	105	86
ansA	48	45	34	23
pncA	20	24	13	16
ydjE	5	1	2	0
ydjF	10	4	15	6
ydjG	2	1	2	5
ydjH	1	0	1	3
ydjI	2	3	1	1
ydjJ	0	3	0	0
ydjK	5	0	2	2
ydjL	2	3	2	5
yeaC	6	6	10	12
msrB	19	15	21	27
gapA	3768	3927	5524	6103
yeaD	62	44	91	99
yeaE	35	33	56	57
mipA	124	153	94	76
yeaG	72	43	117	98
yeaH	18	12	46	33
cdgI	2	3	8	0
dgcJ	9	12	10	9
yeaK	16	11	23	13
yoaI	0	0	0	0
yeaL	3	2	2	3
nimR	1	2	2	3
nimT	4	8	0	6
yeaO	2	6	5	7
yoaF	4	0	1	0
dgcP	35	34	39	29
yoaK	0	0	0	0
yoaJ	0	0	0	0
yeaQ	0	2	7	3
yoaG	0	0	0	0
yeaR	1	1	0	0
leuE	6	10	10	11
dmlR	16	24	48	44
dmlA	8	6	24	36
yeaV	1	1	1	1
yeaW	3	0	4	2
yeaX	1	0	2	2
rnd	51	34	42	31
fadD	85	51	30	20
yeaY	41	23	15	23
tsaB	49	33	33	29
yoaA	60	45	26	36
yoaB	6	10	7	14
yoaC	2	2	4	0
yoaH	1	2	2	0
pabB	13	16	8	9
nudL	10	6	5	6
sdaA	241	236	210	192
pdeD	2	4	3	1
yoaE	77	59	82	75
yoaL	1	0	0	0
manX	251	228	372	491
manY	169	148	246	339
manZ	201	204	374	368
yobD	3	1	3	4
mntP	6	2	7	4
rlmA	41	30	24	27
cspC	44	44	34	47
yobF	7	10	9	6
yebO	9	7	8	6
mgrB	1	1	1	0
yobH	1	1	0	0
kdgR	43	37	57	50
yebQ	11	10	7	5
htpX	164	96	101	125
prc	360	344	214	228
proQ	218	196	125	99
msrC	38	35	29	31
yebS	17	15	22	14
yebT	64	52	63	57
rsmF	39	34	25	21
yebV	1	0	0	1
yebW	0	0	0	0
pphA	2	0	3	1
ryeA	14	35	56	77
sdsR	0	0	0	0
yebY	8	4	9	9
yebZ	66	49	45	56
yobA	14	17	16	18
holE	0	0	1	2
yobB	7	5	2	10
exoX	14	10	20	14
ptrB	29	21	35	30
yebE	13	20	34	42
yebF	11	23	10	11
yebG	10	8	19	15
purT	13	16	5	6
eda	76	68	97	105
edd	31	32	65	66
zwf	206	196	198	246
yebK	22	23	45	31
pykA	387	407	665	671
lpxM	60	55	56	46
mepM	139	100	84	96
znuA	65	50	74	73
znuC	30	27	39	20
znuB	17	21	36	29
ruvB	50	34	47	52
ruvA	33	26	22	20
yobI	0	0	0	0
yebB	2	0	1	0
ruvC	40	56	48	35
yebC	145	141	98	102
nudB	27	9	9	12
aspS	376	428	377	347
yecD	20	21	25	22
yecE	6	5	4	3
yecN	2	4	12	8
cmoA	17	11	10	6
cmoB	28	35	23	20
torZ	9	6	9	10
torY	0	1	0	0
micL	0	0	0	0
cutC	20	17	21	20
yecM	12	11	11	10
argS	182	168	98	91
yecT	0	0	1	0
flhE	0	0	0	0
flhA	2	3	7	8
flhB	0	0	0	1
cheZ	0	0	1	0
cheY	0	0	3	0
cheB	0	0	0	0
cheR	2	0	0	1
tap	0	0	3	4
tar	2	2	2	4
cheW	1	0	1	2
cheA	2	1	3	0
motB	1	0	1	1
motA	0	0	2	3
flhC	6	4	6	2
flhD	1	1	3	4
insB-5	0	0	0	0
insA-5	0	0	0	0
uspC	7	10	17	29
otsA	22	17	28	23
otsB	12	7	11	17
araH	5	2	8	15
araG	9	8	18	11
araF	4	8	19	17
ftnB	77	86	153	231
yecJ	4	1	2	0
azuC	0	0	0	0
yecR	1	0	0	0
ftnA	178	152	146	155
yecH	0	3	4	6
tyrP	16	22	15	11
yecA	71	89	112	157
leuZ	0	0	0	0
cysT	0	0	0	0
glyW	0	0	0	0
pgsA	28	32	38	39
uvrC	194	144	187	178
uvrY	101	92	140	101
yecU	0	0	0	1
yecF	6	3	3	0
sdiA	4	6	4	2
sdsN	0	0	0	0
tcyN	19	14	25	29
tcyL	18	7	17	14
dcyD	24	21	33	31
tcyJ	17	14	28	50
fliZ	2	2	2	1
fliA	2	1	0	0
fliC	23	20	26	22
fliD	2	2	3	4
fliS	0	0	0	1
fliT	0	0	0	0
amyA	29	24	29	24
yedD	56	61	62	52
yedE	13	15	17	14
yedF	0	1	0	1
yedK	1	0	2	2
yedL	0	0	0	1
fliE	0	0	0	0
fliF	5	2	0	3
fliG	0	1	4	2
fliH	2	0	1	1
fliI	1	2	2	1
fliJ	0	0	0	1
fliK	0	0	1	0
fliL	1	0	0	2
fliM	3	5	4	2
fliN	0	1	0	0
fliO	0	0	0	0
fliP	0	0	0	0
fliQ	0	0	0	0
fliR	1	1	0	0
rcsA	1	1	0	0
dsrB	0	2	0	1
yodD	0	0	0	1
dsrA	0	0	0	0
yedP	4	3	6	12
dgcQ	17	10	17	18
yodC	0	0	0	0
yedI	11	19	10	13
yedA	1	2	0	1
vsr	2	0	1	1
dcm	65	60	53	36
yedJ	10	12	10	6
yedR	0	0	0	0
rseX	0	0	0	0
hchA	13	5	10	14
hprS	13	3	8	10
hprR	9	2	11	8
yedX	5	0	1	1
msrP	4	4	7	11
msrQ	0	1	1	1
zinT	2	1	3	4
yodB	0	0	1	0
serU	0	0	0	0
mtfA	41	72	118	125
asnT	0	0	0	0
yeeJ	18	25	30	29
shiA	23	14	20	18
amn	87	81	132	149
yeeN	112	127	102	95
asnW	0	0	0	0
yeeO	4	0	5	4
asnU	0	0	0	0
cbl	3	2	1	1
nac	3	1	2	1
asnV	0	0	0	0
ldtA	15	10	30	19
cobT	5	5	4	4
cobS	1	1	0	3
cobU	0	0	4	4
insH-6	6	1	3	2
insD-3	0	0	0	0
insC-3	0	0	0	0
isrC	0	0	0	1
flu	127	132	220	249
yeeR	7	4	8	9
yeeS	1	0	1	0
yeeT	0	0	0	0
cbeA	0	1	1	2
cbtA	0	1	0	1
yeeW	0	0	0	0
yoeF	0	1	0	0
yeeX	39	38	57	59
yeeA	16	10	16	20
sbmC	11	10	41	28
dacD	13	9	4	4
sbcB	79	80	97	76
yeeD	1	0	0	0
yeeE	1	4	6	1
plaP	198	226	71	50
yoeI	0	0	0	0
yeeY	8	3	3	5
yeeZ	67	70	117	137
yoeB	0	0	0	0
yefM	0	1	2	0
hisL	0	0	0	0
hisG	10	16	15	19
hisD	28	25	36	50
hisC	18	11	29	25
hisB	29	25	26	38
hisH	8	4	13	7
hisA	20	20	16	24
hisF	9	19	15	16
hisI	18	15	22	25
wzzB	272	225	164	125
ugd	21	18	12	9
gnd	692	689	633	691
insH-7	0	0	0	0
wbbK	96	126	95	44
wbbJ	34	44	25	21
wbbI	104	107	46	43
wbbH	42	45	24	25
glf	99	100	65	46
rfbX	64	80	32	20
rfbC	32	25	11	8
rfbA	116	128	67	60
rfbD	118	91	55	48
rfbB	203	191	80	85
galF	474	356	363	284
wcaM	4	1	5	3
wcaL	4	3	7	3
wcaK	1	0	2	3
wzxC	2	2	0	1
wcaJ	0	1	1	0
cpsG	2	2	0	1
cpsB	0	0	0	2
wcaI	0	0	1	0
gmm	0	0	0	0
fcl	2	0	0	0
gmd	0	1	0	1
wcaF	0	0	0	0
wcaE	0	0	0	0
wcaD	0	0	0	1
wcaC	0	0	1	1
wcaB	0	1	3	0
wcaA	0	0	0	0
wzc	1	0	2	0
wzb	0	0	1	0
wza	0	0	1	0
yegH	38	39	39	37
asmA	83	63	99	94
dcd	58	67	86	106
udk	21	28	12	15
dgcE	39	20	24	24
alkA	7	7	13	17
yegD	23	36	16	17
yegI	2	2	7	5
yegJ	1	0	1	0
pphC	1	0	1	0
yegL	0	0	0	0
sibA	0	1	0	1
ibsA	0	0	0	0
sibB	0	0	0	0
ibsB	0	0	0	0
mdtA	10	6	10	10
mdtB	8	11	9	10
mdtC	15	6	11	6
mdtD	5	3	2	0
baeS	3	3	4	3
baeR	9	13	13	13
yegP	0	0	0	3
yegQ	94	85	40	23
cyaR	0	0	0	0
ogrK	0	0	1	0
yegR	0	0	0	0
yegS	4	5	6	6
insE-5	0	0	0	0
insF-5	0	0	0	0
gatD	1155	944	1676	1885
gatB	161	134	284	289
gatA	477	374	636	751
gatZ	4649	4246	7891	8584
gatY	1718	1760	3235	3890
fbaB	31	27	53	62
yegT	6	2	1	7
yegU	7	5	7	3
yegV	7	1	6	3
yegW	17	10	10	10
yegX	0	3	3	4
thiD	5	3	0	1
thiM	1	1	0	3
rcnR	2	1	1	0
rcnA	5	0	1	0
rcnB	6	4	8	2
yehA	0	1	2	0
yehB	6	1	6	5
yehC	0	3	2	2
yehD	5	7	12	21
yehE	0	1	0	0
mrp	133	134	187	191
metG	251	256	179	157
yehF	0	0	1	0
yehI	3	4	5	9
yehK	0	0	0	0
yehL	0	0	0	0
yehM	0	0	2	1
yehP	0	0	1	1
yehQ	3	3	1	2
yehR	1	0	1	0
yehS	55	44	29	29
btsR	27	34	23	24
btsS	29	38	51	41
mlrA	1	4	4	4
yohO	0	0	0	0
yehW	4	0	1	5
yehX	4	2	5	6
yehY	4	3	8	13
osmF	12	9	14	7
bglX	113	102	105	118
dld	271	304	411	485
pbpG	20	22	21	16
yohC	0	1	2	0
yohD	8	11	16	13
yohF	0	0	4	3
yohP	0	0	0	0
dusC	16	8	14	4
yohJ	15	4	10	1
yohK	5	7	8	12
cdd	29	24	56	63
sanA	6	0	9	5
yeiS	0	0	0	0
preT	126	124	230	282
preA	119	88	181	229
mglC	17	4	3	2
mglA	27	11	1	2
mglB	45	34	24	14
galS	11	8	11	13
yeiB	27	15	10	11
folE	69	65	65	64
yeiG	49	37	81	84
cirA	244	205	4	7
lysP	105	85	49	45
yeiE	48	40	60	61
yeiH	14	11	10	7
nfo	34	45	19	18
yeiI	48	33	21	13
nupX	1	0	2	1
rihB	0	1	2	1
yeiL	1	1	3	1
psuT	5	4	4	1
psuG	2	1	4	2
psuK	1	0	0	1
fruA	31	42	83	87
fruK	11	11	33	34
fruB	22	11	48	26
setB	5	3	11	10
yeiW	1	1	0	0
yeiP	40	41	20	32
yeiQ	10	18	10	10
yeiR	13	14	14	9
lpxT	15	19	12	6
mepS	201	195	208	166
pdeN	21	13	21	23
yejA	24	22	45	29
yejB	9	9	11	9
yejE	10	9	14	18
yejF	45	35	46	41
yejG	10	11	12	25
bcr	48	55	43	33
rsuA	33	32	41	23
radD	26	12	33	30
rplY	105	80	59	56
yejK	62	50	50	49
yejL	3	4	0	2
yejM	146	107	92	57
proL	0	0	0	0
insH-8	0	0	0	0
narP	12	7	14	5
ccmH	44	42	39	63
ccmG	10	12	16	18
ccmF	89	93	88	105
ccmE	32	14	26	30
ccmD	0	1	0	0
ccmC	48	28	66	48
ccmB	17	17	18	27
ccmA	70	56	98	106
napC	57	59	81	98
napB	22	14	46	62
napH	77	69	151	114
napG	57	48	103	93
napA	547	589	1243	1215
napD	1	1	4	6
napF	15	28	77	52
yojO	0	0	0	0
eco	35	38	40	53
mqo	72	82	13	13
yojI	19	17	5	2
alkB	1	1	3	0
ada	11	6	8	12
ftp	8	14	12	5
ompC	10031	10080	12273	13455
micF	0	0	0	0
rcsD	158	102	123	125
rcsB	112	92	111	99
rcsC	68	65	81	56
atoS	20	23	44	53
