	SRR7217923	SRR7217925	SRR7217927	SRR7217929
eyeA	0	0	0	0
ykfC	1	4	7	7
insH-1	0	0	0	0
mmuP	4	2	2	2
mmuM	25	43	95	86
afuC	2	2	3	1
insB-2	0	0	0	0
insA-2	0	0	0	0
yagB	0	0	2	0
yagA	0	0	0	0
yagE	12	6	17	18
yagF	37	31	60	45
yagG	2	0	1	3
yagH	4	1	5	5
xynR	10	9	10	10
argF	12	3	2	6
ykgS	0	0	0	0
insB-3	0	0	0	0
insA-3	0	0	0	0
yagJ	4	5	6	8
yagK	1	2	1	2
yagL	0	0	0	1
yagM	0	0	0	1
ykgV	0	0	0	0
yagN	4	7	8	9
intF	15	13	14	11
yagP	1	0	0	1
paoD	0	0	0	3
paoC	3	1	2	4
paoB	1	0	0	0
paoA	1	0	1	0
yagU	22	22	44	27
ykgJ	0	0	1	0
ecpE	2	2	2	2
ecpD	3	1	9	7
ecpC	4	3	2	1
ecpB	0	0	0	0
ecpA	4	0	5	5
ecpR	0	0	0	0
ykgL	0	0	0	0
ykgO	0	0	0	0
ykgM	0	0	0	0
ykgR	0	0	0	0
insE-1	0	0	0	0
insF-1	0	0	0	0
rclC	1	0	0	1
rclB	0	0	0	0
rclA	4	4	1	2
rclR	2	1	1	2
ykgE	41	50	129	108
ykgF	143	148	331	334
ykgG	44	39	98	113
ykgH	2	2	0	1
betA	72	57	26	22
betB	115	109	55	36
betI	38	27	23	15
betT	166	158	32	31
yahV	0	0	0	0
pdeL	7	7	3	1
yahB	3	3	6	10
yahC	0	0	1	0
yahD	2	3	4	5
yahE	0	0	1	0
yahF	0	0	1	2
yahG	1	2	3	2
yahH	0	0	0	0
yahI	1	1	1	0
yahJ	10	16	12	12
yahK	17	12	14	15
yahL	1	0	0	0
yahM	0	0	0	0
yahN	2	6	12	16
yahO	4	3	8	6
prpR	0	1	1	1
prpB	1	1	2	0
prpC	0	1	0	0
prpD	1	0	0	0
prpE	0	3	2	3
codB	18	14	6	10
codA	28	33	24	30
cynR	6	6	6	4
cynT	1	2	2	2
cynS	1	1	2	0
cynX	1	3	1	2
lacA	0	1	0	0
lacY	2	2	0	0
lacZ	19	8	17	23
lacI	38	19	26	17
mhpR	22	11	6	8
mhpA	0	3	0	0
mhpB	0	0	0	0
mhpC	1	0	0	1
mhpD	0	0	1	0
mhpF	2	3	1	0
mhpE	0	0	0	2
mhpT	3	0	2	2
yaiL	18	13	18	24
frmB	16	19	21	11
frmA	60	54	41	69
frmR	3	2	2	2
yaiO	1	2	2	1
insC-1	0	0	0	0
insD-1	0	0	0	0
yaiP	0	1	0	2
ykiC	0	0	0	0
yaiS	0	0	0	0
tauA	0	0	0	0
tauB	0	0	0	0
tauC	0	0	0	0
tauD	0	1	0	2
hemB	96	108	110	105
insF-2	0	0	0	0
insE-2	0	0	0	0
iprA	0	0	2	1
ampH	32	19	31	19
sbmA	9	12	13	5
yaiW	12	11	18	16
yaiY	0	0	0	0
yaiZ	0	1	2	1
ddlA	91	84	105	95
iraP	3	1	3	4
phoA	18	4	22	18
psiF	1	1	0	2
dgcC	2	0	0	3
proC	46	48	42	37
yaiI	27	24	49	33
aroL	19	14	24	16
yaiA	2	1	0	1
aroM	10	10	5	7
ppnP	20	15	31	39
ykiD	0	0	0	0
rdgC	61	55	39	42
mak	10	7	21	29
araJ	6	2	5	2
sbcC	41	37	32	34
sbcD	26	22	22	12
phoB	3	2	2	5
phoR	5	5	5	4
brnQ	95	73	69	67
proY	57	57	39	29
malZ	8	14	17	18
acpH	2	1	6	4
queA	109	83	55	35
tgt	153	151	97	103
yajC	35	22	36	29
secD	377	380	261	208
secF	158	157	103	101
yajD	3	7	10	13
tsx	184	212	297	343
yajI	7	6	7	4
nrdR	23	27	46	36
ribD	82	67	91	86
ribE	67	58	47	35
nusB	76	75	57	49
thiL	31	34	32	21
pgpA	19	22	45	42
yajO	106	102	163	206
dxs	234	200	218	193
ispA	116	84	115	102
xseB	3	3	1	2
thiI	155	152	96	67
yajL	13	20	27	34
panE	17	23	49	48
yajQ	63	48	73	63
yajR	28	23	9	11
cyoE	347	393	192	186
cyoD	25	19	9	11
cyoC	154	168	61	46
cyoB	1581	1668	480	465
cyoA	830	892	196	179
ampG	84	70	61	60
yajG	66	40	39	39
bolA	13	15	28	41
tig	1767	1857	1061	967
clpP	171	178	272	281
clpX	493	499	638	571
lon	408	375	312	359
hupB	88	71	77	104
ppiD	455	399	400	344
ybaV	5	1	7	7
fadM	1	0	1	0
queC	26	14	25	21
ybaE	10	18	33	36
cof	29	27	46	45
decR	4	12	4	10
mdlA	20	23	9	17
mdlB	19	18	18	19
glnK	0	0	1	0
amtB	5	5	8	4
tesB	34	32	24	47
ybaY	30	11	35	27
atl	0	4	6	6
ffs	4	3	7	6
ybaA	2	2	1	0
pdeB	21	10	22	16
ylaC	35	24	13	12
maa	6	7	6	3
hha	2	1	1	2
tomB	4	3	2	1
acrB	352	398	243	241
acrA	115	96	63	66
acrR	9	7	7	6
mscK	106	88	69	71
ybaM	0	0	1	0
priC	11	2	18	10
ybaN	1	0	0	3
apt	59	46	30	13
dnaX	205	202	166	118
ybaB	28	27	34	31
recR	120	128	88	95
htpG	186	199	219	208
adk	265	216	129	147
hemH	35	26	36	37
aes	12	9	19	24
gsk	80	76	60	45
ybaL	137	153	104	112
fsr	16	15	18	19
ushA	106	118	228	252
ybaK	8	5	5	4
chiX	0	0	0	0
ybaP	15	12	19	20
ybaQ	2	2	2	3
copA	174	165	271	275
glsA	0	0	1	1
ybaT	3	3	1	4
cueR	2	3	10	8
ybbJ	14	5	17	18
qmcA	29	32	58	88
fetA	11	17	18	18
fetB	12	11	15	17
cnoX	58	37	67	63
ybbO	43	25	34	35
tesA	26	29	37	34
ybbA	8	6	9	4
ybbP	18	14	20	22
rhsD	7	2	12	17
ybbC	0	0	0	0
ylbG	0	0	0	0
selU	20	15	11	11
allS	0	0	0	0
allA	0	1	1	1
allR	42	29	45	35
gcl	0	0	2	1
hyi	0	0	0	0
glxR	1	0	0	2
ybbW	0	1	0	0
allB	3	3	5	2
ybbY	1	1	1	0
glxK	2	2	1	1
allE	6	6	9	6
allC	4	4	4	4
allD	1	1	2	2
fdrA	0	0	1	1
ylbE	0	1	0	0
ylbF	3	0	0	0
ybcF	1	1	4	0
purK	29	31	16	10
purE	10	8	4	3
lpxH	26	21	23	13
ppiB	126	94	85	82
cysS	122	104	92	89
ybcI	0	0	0	1
ybcJ	3	2	3	2
folD	115	115	80	102
sfmA	0	0	0	0
sfmC	0	0	0	0
sfmD	1	3	3	0
sfmH	0	0	0	0
sfmF	0	0	0	0
fimZ	0	0	0	1
argU	0	0	0	0
intD	24	11	25	20
insE-3	0	0	0	0
insF-3	0	0	0	0
emrE	2	2	0	2
ylcJ	0	0	0	0
ybcK	0	2	0	1
ybcL	1	0	5	2
ybcM	5	3	5	3
ylcH	0	0	0	0
ybcN	0	1	0	0
ninE	0	0	0	0
ybcO	0	0	0	0
rusA	0	0	0	0
ylcG	0	0	0	0
ybcQ	0	0	0	0
insH-2	0	0	0	0
essD	0	0	0	0
rrrD	0	0	1	0
rzpD	1	1	0	0
rzoD	0	0	0	0
borD	10	5	3	6
ybcV	0	1	0	0
